Product,Brand,description,Price,Offer,Offer_price,Reviews,Free_coupon,Coupon
Nykaa Cosmetics  - Superlight Lip Cloud Liquid Lipstick,Nykaa Cosmetics ,Superlight Lip Cloud Liquid Lipstick,1374.0,0,1374,62,No,No Gift
Nykaa Perfumery  - Love Struck Full Size Perfume,Nykaa Perfumery ,Love Struck Full Size Perfume,799.0,20,639,15312,No,No Gift
Huda Beauty  - Lip Contour 2.0,Huda Beauty ,Lip Contour 2.0,1374.0,0,1374,659,No,No Gift
KIRO Four  - Play Non-Stop Airy Matte Liquid Lipstick,KIRO Four ,Play Non-Stop Airy Matte Liquid Lipstick,1175.0,5,1116,1050,No,No Gift
Key Ceramide  - Key Ceramide & Peptide Barrier Repair SPF 50 PA+++ Tin...,Key Ceramide ,Key Ceramide & Peptide Barrier Repair SPF 50 PA+++ Tin...,295.0,16,247,7703,No,No Gift
Faces Canada  - Weightless Matte Finish Lipstick,Faces Canada ,Weightless Matte Finish Lipstick,325.0,25,243,41939,No,No Gift
Bobbi Brown  - New Extra Lip Tint (Lip Balm),Bobbi Brown ,New Extra Lip Tint (Lip Balm),1374.0,0,1374,694,No,Free gift
Swiss Beauty  - Non Transfer Waterproof Lipstick,Swiss Beauty ,Non Transfer Waterproof Lipstick,399.0,13,347,10312,No,Free gift
Stop Airy  - Airy Matte Liquid Lipstick,Stop Airy ,Airy Matte Liquid Lipstick,875.0,5,831,3789,No,No Gift
Swiss Beauty  - HD Matte Lipstick,Swiss Beauty ,HD Matte Lipstick,399.0,10,359,30403,No,Free gift
Swiss Beauty  - Ultra Smooth Matte Liquid Lipstick,Swiss Beauty ,Ultra Smooth Matte Liquid Lipstick,249.0,10,224,31353,No,Free gift
Staze 9to9  - Love Tri-Angle 3 in 1 Lipstick,Staze 9to9 ,Love Tri-Angle 3 in 1 Lipstick,449.0,12,395,4545,No,Free gift
MARS Popstar  - Non Drying Liquid Mousse Lipstick,MARS Popstar ,Non Drying Liquid Mousse Lipstick,249.0,4,239,2547,No,No Gift
C Powder  - Kiss Liquid Lipcolour,C Powder ,Kiss Liquid Lipcolour,1374.0,0,1374,2623,No,Free gift
Swiss Beauty  - All About Lip Palette,Swiss Beauty ,All About Lip Palette,469.0,10,422,20652,No,Free gift
DIOR Addict  - 24H Hydration Plumping Gloss Lip Maximizer,DIOR Addict ,24H Hydration Plumping Gloss Lip Maximizer,1374.0,0,1374,285,No,No Gift
MARS Matte  - Lip Liner Pack of 10,MARS Matte ,Lip Liner Pack of 10,690.0,10,621,1397,No,No Gift
Lakme Rouge  - Bloom Powder Matte Lipstick,Lakme Rouge ,Bloom Powder Matte Lipstick,1374.0,0,1374,455,No,No Gift
Swiss Beauty  - Bold Matte Lips Liner Pencil Set Of 3 - 1 Royal...,Swiss Beauty ,Bold Matte Lips Liner Pencil Set Of 3 - 1 Royal...,1374.0,0,1374,31389,No,Free gift
